feature,coef,abs_coef
Name_Length_Bin_long_False,3.1162565288132194,3.1162565288132194
Name_Length_Bin_long_True,-3.1082892344233586,3.1082892344233586
City_Windham,-0.9101532949071737,0.9101532949071737
Name_Sweetser,-0.9021614868381611,0.9021614868381611
Name_McH Inc.,-0.8775302236644504,0.8775302236644504
Name_Day One,-0.8737083905387852,0.8737083905387852
City_Rockland,-0.811252322697533,0.811252322697533
City_Saco,-0.6938288018114723,0.6938288018114723
Name_Word_Count,-0.34417188099714363,0.34417188099714363
city_freq,0.307738994748332,0.307738994748332
Name_Length,-0.2189788388883194,0.2189788388883194
city_freq_log,-0.19810763713121635,0.19810763713121635
City_Bath,0.13582823316305875,0.13582823316305875
City_Belfast,0.12988486534255608,0.12988486534255608
City_Bangor,0.12669518397153406,0.12669518397153406
City_Skowhegan,0.1156836737217097,0.1156836737217097
City_Falmouth,0.10084444239995925,0.10084444239995925
City_Castine,0.09915195131135786,0.09915195131135786
Class_Prefix_PC_False,0.09441746290987366,0.09441746290987366
Name_Trustees of Thornton Academy,0.08894887912046119,0.08894887912046119
Class_Prefix_PC_True,-0.08645016852001215,0.08645016852001215
Classification Code_PC,-0.08645016852001215,0.08645016852001215
City_Bar Harbor,0.08326716415107582,0.08326716415107582
City_Westbrook,0.08167828147247605,0.08167828147247605
City_Eliot,0.08000926018163265,0.08000926018163265
City_Yarmouth,0.07870255527260975,0.07870255527260975
Classification Code_PF,0.07866876574260691,0.07866876574260691
Class_Prefix_PF_True,0.07866876574260691,0.07866876574260691
Classification Code_EO,-0.07849117268787353,0.07849117268787353
Classification Code_POF,0.07840260609731618,0.07840260609731618
Class_Prefix_PO_True,0.07840260609731618,0.07840260609731618
Name_First Universalist Church,0.07822574506268663,0.07822574506268663
Classification Code_SOUNK,0.07507047156923478,0.07507047156923478
Class_Prefix_SO_True,0.07507047156923478,0.07507047156923478
City_Portland,0.07369544327602576,0.07369544327602576
City_Fryeburg,0.07338744963651707,0.07338744963651707
City_Southwest Hbr,-0.07114399664023852,0.07114399664023852
Class_Prefix_PF_False,-0.07070147135274508,0.07070147135274508
Class_Prefix_PO_False,-0.07043531170745448,0.07043531170745448
City_Sanford,0.07013020540956115,0.07013020540956115
